text,sentiment,id,transformed
"Григорий Градовский, отец тети Кати, как называла ее моя мама, был известным публицистом, знал Толстого, Достоевского, Лескова; он печатался в шульгинском «Киевлянине», где, скорее всего, и познакомился со своей женой Евгенией Поповой, сестрой матери В.В. ― Марии Константиновны.  [Ольга Матич. Яхта «Три поколения» // «Русская жизнь», 2012] [not disambiguated]",p,2694,"У Григория Градовского, отца тети Кати, была популярная учетная запись, когда ее мама называла ее. Он знал Толстого, Достоевского, Лескова. Он был опубликован в Шульгинском «Киевлянине», возможно, наиболее вероятной из его жены матери Евгении Поповой, В.В."
"Некоторые же обращают внимание на то, что на самом деле картина еще при Сталине была куда более дифференцированной, чем может показаться.  [Ольга Балла. Между «разно» и «инако»: российские вольнодумцы на перепутьях истории // «Знание - сила», 2011] [not disambiguated]",l,3576,"Некоторые акцентируют внимание на том, что картина в Сталине была гораздо более дифференцированной, чем вы могли бы подумать."
"Возни́кший ме́жду двумя́ президе́нтами стиль обме́на комплиме́нтами остаётся в си́ле, пра́вда, в любе́зных слова́х вновь немно́го жёстче проступа́ют принципиа́льные пози́ции.  [Екатерина Григорьева. Расстановка акцентов. Владимир Путин поделился впечатлениями о Джордже Буше (2001) // «Известия», 2001.06.19] [disambiguated]",n,1861,"В настоящее время производительности полиции является болью как для людей в погонах, так и для граждан."
"Почти с такой же жестокостью обращались они и с местным населением, убивая людей и сжигая дома.  [Александр Храмчихин. Последний бой майора Брайтнера // «Русская жизнь», 2012] [not disambiguated]",n,2957,"Но это все дело, что в то время как ни один из документов не ясно изложено описание процесса."
"В э́ти дни его́ зака́та нево́льно вспомина́ется приве́т вели́кого челове́ка, ему́ посвящённый:  [Н. В. Устрялов. Судьба Петербурга (1918)] [disambiguated]",n,2320,"В эти дни его спада, нельзя не ссылаясь на слова, новичков в него :"
"Э́то незначи́тельные фина́нсовые тре́бования, и ба́нки в состоя́нии вы́полнить их.  [Алексей Полухин, Сергей Рябов. Очередь у копилки (2003) // «Время МН», 2003.08.09] [disambiguated]",n,879,"Это минорный финансовые требования, и банки могут выполнить их,"
"Деклари́руя на де́ле бюдже́тный федерали́зм, центр, по мне́нию ауди́тора Влади́мира Панскова, предпочита́ет не укрепля́ть дохо́дные ба́зы бюдже́тов, а по-пре́жнему финанси́ровать регио́ны из фо́ндов фина́нсовой подде́ржки регио́нов, число́ кото́рых уже́ вы́росло до пяти́.  [Наталья Ратиани. Секрет самодостаточности. У регионов может появиться персональная налоговая база (2003) // «Известия», 2003.02.14] [disambiguated]",l,846,"Заявив на практике фискальный федерализм, центр, в идее аудитора Владимира Панскова, предполагает не усиливать доходы баз бюджетов, а продолжает финансировать регионы из фондов финансовой поддержки регионов, число которых уже выросло до пяти."
"[Княгинин Алексей, nick]   Он активно поддерживает реакционную антинациональную политику французских правящих кругов, действующих в угоду американским империалистам.  [коллективный. Форум: Великий всесоюзный голод (г. Харьков ― 1933 год) (2012)] [not disambiguated]",p,3068,"Он активно поддерживает реакционную антинациональную политику французских правящих кругов, действующую, чтобы порадовать американских империалистов."
"[Сбруев Виктор, nick]   Разъединенные людиутрачивают и навыки логических рассуждений, поскольку рассуждения нуждаются в диалоге, в оппозиции утверждений.  [В. Сбруев. О стирании исторической памяти (2012)] [not disambiguated]",n,2802,"[Сбруев, Виктор.] Бесплодные людиутрачивают и навыки логического мышления, так как дискуссии нужны в диалоге, в оппозиции."
"По мнению американского эксперта Джозефа Брамла, у США нет цели сталкивать РФ и ФРГ: «Россия для немцев важнее, чем для американцев, которые считают ее силой региональной, но полезной для сдерживания КНР».  [Виктор Агаев. Усталость от единства // «Огонек», 2015] [not disambiguated]",l,3910,"По мнению американских экспертов, Россия может помочь остановить Китай."
"В компании можно встретить человека, который рассказывает, что нацизм сродни патриотизму, и его никто не будет одергивать, ― констатирует Добрынин.  [коллективный. Форум: Православие и «Русский марш» (2012)] [not disambiguated]",l,3206,"Компания может встретиться с человеком, который говорит, что нацизм - это патриотизм, и никто не одергивать, - отмечает Добрынин."
"[Мит Андрей, nick]   Вот об этом и пост.  [Григорьян Владимир, nick]   Дело за малым.   Необходимо, чтобы это «дошло» до оппонентов, которые вместо понимания того, что подобные посты являются попытками разобрать «авгиевы конюшни», ищут чёрных кошек в тёмных комнатах, везде им мерещится измена Родины, пособничество врагам и прочая пропагандистская ахинея.  [коллективный. Форум: Уничтожение польской профессуры Львова. Обсуждение (2012)] [not disambiguated]",n,3266,"[Мясо Андрей, это] Вот что. [Григорьян и.] Это для маленьких. Крайне важно, чтобы это «это» противникам, которые вместо того, чтобы понимать, что такие должности - это попытки прочитать «авгиевы конюшни, ищущие черных кошек в темных комнатах, везде они видят государственную измену, помощь и другие пропагандистские дерьмы.
"
"Поскольку я интересовалась языком, то для меня важнымчеловеком был Андрей Анатольевич Зализняк.  [Л. Ермолинская, C. М. Толстая. Этнолингвист Светлана Толстая: Нас обвиняли в том, что мы проповедуем религию (2015.10.27)] [not disambiguated]",p,3862,Мы интересовались лингвистикой: в настоящее время мы в тюрьме.
"Спрос на жриц любви будет всегда, человек грешен, мир лежит во зле.  [Александр Тимофеевский. Бордель // «Русская жизнь», 2012] [not disambiguated]",n,2898,"Требование для жриц любви всегда было бы, человек, мир злой."
"В защи́ту прави́тельства   Фас и про́филь   Все, кому́ не лень, прави́тельство руга́ют.  [Ф. Неверов. В защиту правительства (2003) // «Советская Россия», 2003.04.24] [disambiguated]",n,697,"). Протестантский индивидуализм только преподается в семье (или индивидуальной) работы в korystlivyh целей (семья, а не государство или партии)."
"И при этом всем, заход в наш порт, по цене самый дорогойв мире.  [коллективный. Форум: Последняя минута экипажа РБТ-300 (2012)] [not disambiguated]",p,3197,Люди на нашем пароме в настоящее время совершают самые дорогие звонки.
"Первая его часть посвящена обзорам взглядов на дружбу, существующих в современной политической теории и социологии, вторая ― исследованиям «дружбы как практики» в разных ее аспектах: того, как о дружбе принято говорить в современной русской речевой культуре; что может дать для ее понимания анализ социальных сетей; как менялось содержание понятия «дружбы» от Древней Руси до XVIII века и, наконец, какие смыслы имеет это понятие сегодня в  контексте международных отношений.  [Ольга Балла. Лучшее, что есть в России // «Знание - сила», 2011] [not disambiguated]",l,3566,"Первая часть была посвящена обзору дружбы, существующей в современной политической теории и социологии, а последняя была посвящена изучению различных аспектов практики: принято говорить о дружбе в современной русской речевой культуре. Что анализ социальных сетей может обеспечить для этого понимания; Как изменилось слово «дружба» с течением времени и что это значит сегодня в контексте мировых дел?"
"Вообще, для нашей демократической общественности Украина ― очень поучительный пример.  [Александр Храмчихин. Остров Крым // «Русская жизнь», 2012] [not disambiguated]",p,2944,"Аристотель справедливо сказал, очень плохо, что возвышает человека над человеческим совершенством."
"Са́ми чле́ны па́ртии соглаша́ются, что ""у нас кандида́ты сла́бые, зачасту́ю случа́йные лю́ди.  [Двоецентрие в Кремле (2003) // «Газета», 2003.06.25] [disambiguated]",n,1270,"Члены соглашаются, что «наш кандидат - нерешительный и слабый человек»."
"[Алекс, муж]   Вот такие шептуны вредят обществу, честным людям и всей великой России!  [коллективный. Мистер Рейтинг (2015.03.14)] [not disambiguated]",n,3902,"Это whisperers, которая вредит обществу, честные люди и все великие"
"Утрата нынешними правителями способности принимать политические решения и вырабатывать новый курс дает шанс выйти на арену новым политическим силам, готовым предлагать более решительные меры, ― в этот год выборов ни одна ключевая страна мира не избежала предвыборной интриги, способной оказать влияние на политические события в глобальном масштабе.  [коллективный. Год выборов // «Русский репортер», 2012] [not disambiguated]",p,3007,"Другими словами, мы в значительной степени зависит от мудрости, знания, опыт и дух этих людей."
"Его́ разме́ры зачасту́ю де́лают би́знес предпринима́телейнерента́бельным.  [Светлана Сухова. Мы можем просчитать вас полностью (2003) // «Итоги», 2003.01.13] [disambiguated]",n,1005,Мы часто занимаемся бизнесом с меньшими возможностями.
Однако для того чтобы поддержать разговор с умным человеком надо как-то соответствовать некоему уровню образования собеседника.  [коллективный. Форум: Пришло в личку... (2012)] [not disambiguated],l,3221,Только люди с определенным уровнем образования могут общаться с умными людьми.
"― В э́той связи́ роль, значе́ние министе́рства вну́тренних дел само́й Чечни́, коне́чно, си́льно возраста́ет.  [Анастасия Матвеева. Кадыров избавится от «и.о.» 5 октября (2003) // «Газета», 2003.07.06] [disambiguated]",p,638,"- В этой связи роль, министерства внутренних дел в Чечне, конечно, значительно увеличивается."
"Всплыли нарушения и с порядком финансирования работ.  [Ольга Вандышева. Бессмысленная гонка // «Эксперт», 2015] [not disambiguated]",l,3918,К 2013 году эта условная стоимость будет 19 лет или 228 месяцев.
"Путь, про́йденный Бушем в Любляне, повтори́лся и ещё в одно́м вопро́се ― речь вновь шла о Чечне́.  [Екатерина Григорьева. Расстановка акцентов. Владимир Путин поделился впечатлениями о Джордже Буше (2001) // «Известия», 2001.06.19] [disambiguated]",l,1865,"То, как президент США путешествовал в Любляне, повторилось как еще одна проблема. И снова речь шла о Чечне."
В переписке Александра с Кутузовым делодоходит до ругани.  [коллективный. Форум: Война 1812 г. (2012)] [not disambiguated],n,3080,Все это ставит работник в рыбной промышленности на грань общенациональных забастовок и прибрежных субъектов Российской державы вести ненужную борьбу друг с другом.
"Голосование уже уличают в накрутках ― подозрение, пожалуй, небезосновательное, если обратить внимание на то, с какой явной неохотой мэрия Москвы вообще согласилась рассматривать этот вопрос и, тем более, решать его демократическим путем.  [Н. Л. Холмогорова. Переименование «Войковской»: 12 аргументов против (2015.11.05)] [not disambiguated]",n,3821,"Голосование, уже связанное в накрутках - догадка, я считаю разумным, если уделить внимание тому, как неохотная мэрия Москвы даже согласилась рассмотреть этот вопрос, и тем более, что это зависит от его демократического характера."
"И это, наверное, главное, что можно вынести из всей сердюковской истории: общество, причем и «лояльное» и «оппозиционное», ждет именно посадок; запрос на «больше ада», хоть и не проговаривается вслух, уже стал всеобщим политическим запросом.  Люди хотят крови.   Вот казалось бы ― чего им эта кровь?  [Олег Кашин. Единственный запрос // «Русская жизнь», 2012] [not disambiguated]",l,2567,"И это, возможно, не самое главное, который будет со всей Derevyukov в истории : общество, и даже "" лояльной "" и "" противостояние "", ждет посадки ; запрос продолжения для "" больше "", хотя не произноси громко, уже стало общей политической. Люди хотят крови. Это было бы слишком - почему у них есть эта кровь?"
"Он наделял своих героевгармоничной привязанностью к традициям предков-земледельцев.  [Вехи // «Русский репортер», 2012] [not disambiguated]",p,3349,Он вызвал их героевгармоничной привязанностью к традиции предков-земледельцев.
"Ведь султан Брунея (а он, по сути, единолично принимает все решения) ― вполне приятныйчеловек, англофил, мы с ним пересекались, хотя бы на джаз-концерте в клубе отеля «Ориентал» в Бангкоке…  [Дмитрий Косырев. Шариат на всякий случай // «Огонек», 2015] [not disambiguated]",p,3946,На концерте в Токийском отеле мы увидели министра хорошего характера.
"Не так ва́жно, что все ""хозя́йские"" кома́нды предста́влены структу́рами с разли́чной фо́рмой со́бственности.  [Иван Макушок. Подставные (2003) // «Советская Россия», 2003.08.16] [disambiguated]",n,617,"Это не так важно, что все "" хозяин "" группы представлены в виде структуры с другой формы собственности."
"Первое поручение он выполнил легко, и уже через день одновременно с сообщением о покушении на Рема, в хронике происшествий вышла крохотная заметка о пожаре, в котором сгорела семья из пяти человек.  [Елена Съянова. Брызги на знамени // «Знание-сила», 2012] [not disambiguated]",l,2881,"Первое поручение, которое он осуществил легко, а днем позже, в то же время, когда весть о покушении на Римус, в летопись подробностей, маленький комментарий о пожаре, в котором живет семья из пяти."
"Совокупный долг американцев по образовательным кредитам в конце 2011 года превысил $ 1 трлн: многие молодые люди в период массовой безработицы решили получить высшее образование, а университеты и колледжи повысили плату за обучение.  [Мир в заголовках // «Русский репортер», 2012] [not disambiguated]",l,3399,"В конце 2011 года общий долг корейцев по кредитам на образование превысил 10 миллиардов долларов. Многие студенты решили продолжить высшее образование во время массовой безработицы, а учебные заведения повысили плату за обучение."
"Отны́не все англи́йские масо́ны, жела́ющие рабо́тать тюре́мными надзира́телями, сле́дователями, прокуро́рами, су́дьями и, коне́чно, полице́йскими, должны́ бу́дут в обяза́тельном поря́дке доложи́ть о свое́й принадле́жности к о́бществу во́льных ка́менщиков.  [Климентий Амелин. Правда про ложи: антимасонский заговор // «Коммерсантъ-Власть», 1998] [disambiguated]",l,2136,"Отныне все английские масоны, которые хотят работать тюремными надзирателями, следователями, исполнителями, судьями и, конечно же, жителями, должны будут сообщать о своем членстве в обществе масонов"
"До́воды администра́ции Астраханской о́бласти, лоббирующей строи́тельство железнодоро́жных путе́й, бы́ли доста́точно убеди́тельными, одна́ко Влади́мир Я́ковлев предпочёл воздержа́ться от коммента́риев и прогно́зов, пообеща́в рассмотре́ть вопро́с сра́зу же по возвраще́нии в Москву́.  [Леонид Барков. Вице-премьера позвали в трущобы (2003) // «Время МН», 2003.08.06] [disambiguated]",p,237,"Он пообещал решить проблему вскоре после возвращения в Москву, по мнению местного совета, надеясь построить шоссе."
"Мы мо́жем по́лностью управля́ть на́шими желе́зными де́тищами, и зна́чит, е́сли э́ти чудо́вища выхо́дят из повинове́ния и убива́ют люде́й, то лю́ди же и винова́ты― неради́вые те́хники, ворова́тые и лени́вые нача́льники, лжи́вые и жесто́кие поли́тики…  [Александр Кабаков. Великие стройки апокалипсиса // «Коммерсантъ-Власть», 2000] [disambiguated]",p,1986,"Мы можем полностью контролировать нашу железную молодую, а это значит, что если эти монстры не подчиняются и убивают людей, тогда люди также виноваты в небрежных методах, воровских и ленивых боссах, лживых и жестоких политиках …"
"Успехи Советского Союза были бесспорными и долгое время не только признавались, в том числе враждебным окружением, но и служили примером для подражания.  [Александр Механик. «Где глаз людей обрывается куцый...»» // «Эксперт», 2015] [not disambiguated]",p,3981,"Единство принципа рок племя слово «Физиология», будучи слишком узким и плохо заменено на более порядка единицей."
"Но тем не ме́нее нача́ло ва́жному госуда́рственному де́лубы́ло поло́жено.  [С. Артюхов. …И паек в натуре (2002) // «Сочи», 2002.08.22] [disambiguated]",p,1485,"Но, тем не менее, был заложен первый важный вопрос государства."
"Пра́вда, назва́ть фами́лии он категори́чески отказа́лся, объясни́в э́то нежела́нием ста́вить ещё не назна́ченных люде́й в неудо́бное положе́ние.  [Дмитрий Камышев, Ирина Холмская. Штабные маневры // «Коммерсантъ-Власть», 1999] [disambiguated]",n,2103,"он категорически отказался отдать свою фамилию, это нежелание, чтобы поставить кого-нибудь в неудобное положение."
"Почуяв уход из полиции опытных кадров, криминал поднимет голову.  [Александр Тимофеевский. Стукачество // «Русская жизнь», 2012] [not disambiguated]",l,2906,"Люди сжиматься от страха, как только они слышат о принятии правильных законов, поскольку они, как правило, против улучшения жизни."
"Е́сли вы́бранный путь ока́жется уда́чным, то уже́ к середи́не бу́дущего го́да вся мили́ция перейдёт на но́вую систе́му оце́нки де́ятельности.  [Александр Садчиков. Найти шины за один день. МВД готово к реформе системы учета преступлений (2001) // «Известия», 2001.07.05] [disambiguated]",p,1877,"Если выбранный путь окажется успешной, то к середине следующего года все полицейские будут переходить к новой системе деятельности."
"В-пя́тых, был произведён расчёт эффекти́вности расхо́дов на обеспе́чение безопа́сности.  [Магомет Яндиев. Где на Руси жить хорошо (2003) // «Время МН», 2003.07.30] [disambiguated]",l,1173,расчета эффективности безопасности расходов
"В го́дик он ещё не держа́л головы́.  [Помогите, пожалуйста! (2002) // «Домовой», 2002.04.04] [disambiguated]",l,1804,"Прошел год, она все еще не использовала волосы."
"А она́ бази́руется не сто́лько на си́ле, бога́тстве, бла́гостности, му́дрости etc. власти́теля, ско́лько― и пре́жде всего́ ― на гото́вности по́дданных к повинове́нию.  [Максим Соколов. Меня уже никто не любит. Колонка обозревателя (2002) // «Известия», 2002.09.25] [disambiguated]",l,1690,"И оно основано не столько на власти, и на богатстве, и на благо, и на мудрости и т. Д. Правителе, и, самое главное, на готовности подчиненных подчиняться."
"А в Германии сегодня 15 человек получили ордена.  [Иван Давыдов. Наши и немцы // «Русская жизнь», 2012] [not disambiguated]",l,2451,А сегодня в Германии 15 человек были ордена
"Дом в пода́рок.    Челябинск   В кану́н уче́бного го́да сдано́ в эксплуата́цию но́вое зда́ние Миасского филиа́ла Южно-Уральского госуниверситета.  [Дом в подарок (2003) // «Поиск», 2003.09.12] [disambiguated]",l,1271,Непосредственно перед Челябинским учебным годом было предложено продлить филиал Миасса Южно-Уральского государственного университета.
"Но еще в ходе процесса многих наблюдателей, вне зависимости от их личного отношения к делу, мягко говоря, изумлял дичайший непрофессионализм троицы адвокатов (как-то в данном контексте слово «троица» странно звучит, конечно, ну да пусть уж останется).  [Иван Давыдов. Беззащитные // «Русская жизнь», 2012] [not disambiguated]",n,2419,"Но в этом процессе многие наблюдатели, независимо от их личного отношения к делу, мягко говоря, изумлял дичайший непрофессионализм трех адвокатов (однажды в этом контексте слово «троица», которое звучит безумно, конечно, но пусть это будет )."
"Ведь еди́нственное, на что сре́дства интерне́т-компа́ний тра́тились с успе́хом, ― раскру́тка брэнда, созда́ние маяка́, заме́тного для «ча́йника» в непрола́зных джу́нглях Интерне́та.  [Василий Аузан. B2C: Вack to College (2001) // «Эксперт-Интернет», 2001.03.12] [disambiguated]",p,1827,"Желание сделать большим, особенно для нас умножается, тем больше мы знаем и чувствуем силу стимула к делу добродетели и элегантности: от того, что происходит какое-то неизвестное внутреннее удовольствие, первый плод первой награды добродетели. (1780 г.)]"
"Нало́говый инспе́ктор ― э́то тако́й челове́к, кото́рый всегда́ прихо́дит на вы́ручку!  [Вероника Сивкова, Максим Хуторной. Долги-2003: почему мы возвращаем, а нам - нет (2003) // «Аргументы и факты», 2003.01.22] [disambiguated]",p,1083,"Инспектор аренды - это человек, который всегда приходит на помощь!"
"Наприме́р, там соде́ржится сле́дующий пасса́ж: ""Е́сли в ближа́йшие го́ды экономи́ческий рост в Росси́и мо́жет воспроизводи́ться при усло́вии благоприя́тной внешнеэкономической конъюнкту́ры, то с 2006 го́да, в си́лу исчерпания вну́тренних исто́чников разви́тия, неизбе́жно его́ суще́ственное замедле́ние и да́же спад"".  [Максим Блант. Кассандра в ранге советника (2003) // «Еженедельный журнал», 2003.04.08] [disambiguated]",n,255,"Должен, но, очевидно, не может, поскольку война с невидимым врагом уже давно вышел за пределы его эпицентра в Чечне и может привести к плохим событиям в любом регионе нашей огромной страны."
"А по слова́м президе́нта америка́нской торго́вой пала́ты в Росси́и Эндрю Сомерса, практи́чески всем приезжа́ющим в Москву́ бизнесме́нам из США сра́зу по прибы́тии броса́ются в глаза́ две пробле́мы ― состоя́ние междунаро́дного аэропо́рта «Шереметьево» и лотки́ с нелега́льными ко́пиями компьютерных програ́мм, аудио- и видеоза́писей.  [Роман Дорохов, Елена Короп. Черная метка Белого дома. Правительство начало войну с интеллектуальными пиратами XXI века (2002) // «Известия», 2002.10.03] [disambiguated]",l,1557,"И, по словам президента Американской торговой палаты в России Эндрю Сомерса, почти все бизнесмены, приезжающие в Москву из США сразу по прибытии, замечают две проблемы."
"Но нам назидательно и с попрёками толку́ют о права́х челове́ка и свяще́нной ча́стной со́бственности, сло́вно бы на́житой ещё при Иване Калите.  [Владимир Попов. Страсти по «черному золоту». России прочат лидерство в мировой нефтяном экспорте. Но ценой утраты перспектив развития отечественной экономики (2003) // «Завтра», 2003.08.13] [disambiguated]",n,776,Но мы осуждали права человека и частную собственность. Сейчас Россия занимает лидирующие позиции в мировом экспорте нефти.
"Уго Чавес назвал своего преемника на посту президента Венесуэлы, в случае если он сам не сможет исполнять обязанности главы государства по состоянию здоровья.  [Вехи // «Русский репортер», 2012] [not disambiguated]",l,3344,"Президент Венесуэлы Уго Чавес назначил вице-президента на пост президента, поскольку у него больше нет возможности служить премьер-министром."
"«Пугать инвесторов ― дело неблагодарное, ― сказала нам тогда банковский аналитик Мария Кальварская.  [Основы военного дела // «Русский репортер», 2012] [not disambiguated]",n,3406,""" Чтобы напугать инвесторов - неблагодарная задача, "" банковской аналитик Мария Kalvarskaya сказал нам все время."
"«Ярким свидетельством нерелевантности диссидентских идей и подходов в современном российском обществе, ― пишет она, ― служит чрезвычайно низкий уровень значимости плюралистических ценностей в общественном сознании.  [Ольга Балла. Между «разно» и «инако»: российские вольнодумцы на перепутьях истории // «Знание - сила», 2011] [not disambiguated]",n,3581,"ярким свидетельством бесполезность « практически идей и подходов для современного российского общества », она пишет, "" заключается в чрезвычайно низком уровне, имеющих важное значение программ"
"Но Евро́па то́же нахо́дится в предкри́зисномсостоя́нии, реце́ссии.  [Александр Чудодеев. Расписание на завтра (2003) // «Итоги», 2003.02.04] [disambiguated]",n,1099,"Это, однако, абсолютно ничего не не означает в политической игре в Москве охотно положили на голове председателя правления РАО «ЕЭС России» на лавры лучшего переговорщика с международными финансовыми институтами «семья» будет держать, чтобы сформировать правительство без его участия."
"Мно́гие политологи, анализи́руя сложи́вшуюся в стране́ ситуа́цию, рассма́тривают Госуда́рственный сове́т как не́кий ""утеши́тельный приз"", вы́данный президе́нтом, региона́льным руководи́телям, лиши́вшимся значи́тельной ча́сти своего́ полити́ческого влия́ния…  [Внутренний голос // «Коммерсантъ-Власть», 2000] [disambiguated]",p,2012,"Многие политические аналитики, анализируя ситуацию в стране, вид на государства как своего рода ""утешительный приз"", президент, региональными лидерами, которые потеряли значительную часть их политического влияния."
"[rvgrigoruk, nick]   Отказников единицы на школу, в принципе все, кто отказался от турникетов.  Людям нравится, что сделаешь.  [Лилия, nick]   Я столкнулась с требованием школы на разрешение на сбор и использование персональных данных.  [коллективный. Форум: Турникеты в школах (2011-2012)] [not disambiguated]",p,3264,"И все формальные права на ценности, как самой развитой конкретно и практически осуществимым форме, она играет самую важную роль."
"Это, скорее всего, сказки, так как общая численность русских войск во Франции в 1814 никогда не превышала 100 тыс.  [коллективный. Форум: Война 1812 г. (2012)] [not disambiguated]",l,3084,"Это оставалось сказочной историей, поскольку полная сила России против Франции в 1814 году составляла всего 100 000 человек."
"За последующее разрастание кризиса и его нынешнюю кульминацию гораздо больше, чем сами греки, ответствен богатый Запад со своими банками и финансистами, некомпетентными политиками и ангажированными технократами.  [Гжегож Колодко. Как избежать африканизации Греции // «Эксперт», 2015] [not disambiguated]",n,3936,"Для растущего кризиса и его нынешнего состояния намного больше, чем греков, богатый Запад со своими банками и финансистами, некомпетентными политиками и ангажированными технократами."
"Совсем недавно здесь обсуждалось событие когда оптинский старец, духовник патриарха благословил именно этот «Русский марш».  [коллективный. Форум: Православие и «Русский марш» (2012)] [not disambiguated]",l,3209,"Совсем недавно дело было представлено в повестку дня, когда восхваляли особый «российский марш», исповедь старика, патриарха."
"Наро́дная па́ртия осужда́ет демонстра́цию наси́лия, порногра́фии, осмея́ние оте́чественной культу́ры и исто́рии в сре́дствах ма́ссовой информа́ции.  [Олег Щукин. Раёк от Райкова (2003) // «Завтра», 2003.07.25] [disambiguated]",l,1162,AS «Kroll Associated» погрязла в «золотой партии»
"Они́ предлага́ют предоста́вить нало́говые освобожде́ния тем ча́стным предпринима́телям, кото́рые соста́вят конкуре́нцию предприя́тиям ЖКХ по обслу́живанию жило́го фо́нда.  [Игорь Пылаев. Политический капремонт (2003) // «Еженедельный журнал», 2003.03.24] [disambiguated]",l,821,"Они представили законодательство, которое позволит частным предпринимателям, которые будут конкурировать за жилье и общественные услуги и управление жильем, освобождаются от налогов."
